ID,Group,Feature_1,Feature_2,Feature_3
ID001,C,2894.009802402264,424.94891048932453,-2469.0608919129395
ID002,A,2031.2345280986992,385.0569136501027,4168.419016045585
ID003,A,2491.2801505401917,422.8263972270094,5359.708465485528
ID004,A,2932.3892395998455,403.6626258205425,6778.854589696825
ID005,B,2492.074275373996,406.34996095460934,4984.148550747992
ID006,B,2290.0111609997793,390.1893978329324,4580.022321999559
ID007,C,1598.2638952152652,431.3373161684337,-1166.9265790468314
ID008,B,2566.24278427647,399.0967055604507,5132.48556855294
ID009,C,2904.6957181482026,397.4810105370946,-2507.2147076111078
ID010,B,2319.4319107957567,409.47451273726665,4638.863821591513
ID011,C,2655.736119588476,376.0853045706046,-2279.6508150178715
ID012,C,2624.522326299213,377.20095243894264,-2247.3213738602703
ID013,A,2685.1245959153193,416.6312849981505,5972.217362755206
ID014,A,2097.0015280123284,418.83778896006726,4196.815639236649
ID015,A,3138.2298893271272,399.63505421732714,7416.514396894746
ID016,B,2342.183149736558,369.2809110069743,4684.366299473116
ID017,C,2449.919189018088,395.91014961664706,-2054.009039401441
ID018,C,2029.5732188723482,374.61076913778606,-1654.9624497345621
ID019,C,2503.5992865431963,421.3574525295114,-2082.2418340136846
ID020,C,2631.8784090704225,393.88165459058513,-2237.9967544798374
ID021,B,3144.9240968621425,411.3449811286772,6289.848193724285
ID022,C,2384.056142907703,380.6709736868371,-2003.385169220866
ID023,B,1968.8798384358852,413.0130150831426,3937.7596768717704
ID024,A,2546.4325736870132,408.629245860182,5596.15149176013
ID025,B,2443.0921243361427,404.5630782192616,4886.184248672285
ID026,C,2549.6954967943802,427.2187328190637,-2122.4767639753163
ID027,C,2375.2997699946936,424.5228740530085,-1950.776895941685
ID028,C,2374.1612226259012,375.3146103385507,-1998.8466122873506
ID029,C,2240.643773108641,393.8925383059823,-1846.751234802659
ID030,A,2423.1452481360393,396.20851966494496,5288.393146083393
ID031,A,2883.410763773081,386.5811562121172,6717.326510258656
ID032,C,2363.6618268238753,414.33763704685595,-1949.3241897770195
ID033,C,2770.7656363302513,375.19024192588137,-2395.57539440437
ID034,A,2394.8283772466025,396.0620858051567,5204.1747027140245
ID035,B,2550.1673977486557,385.35858884988886,5100.3347954973115
ID036,B,2190.5679158506828,377.5989013810537,4381.1358317013655
ID037,B,2737.092570077232,417.5178664218794,5474.185140154464
ID038,A,2410.584148428956,414.5350171435348,5159.0773595691935
ID039,C,2602.1198985706496,361.95269069353725,-2240.1672078771126
ID040,C,2221.612813256443,405.44131485763353,-1816.1714983988095
ID041,C,2097.2730680178943,382.0578102200592,-1715.215257797835
ID042,B,2561.659110224842,424.55460775342715,5123.318220449684
ID043,C,2800.150572335902,403.77014638584,-2396.380425950062
ID044,A,2248.165845746326,424.3693466846025,4622.650803815966
ID045,A,2504.9838766178855,396.3914894780877,5532.994182463218
ID046,A,2841.9386596649156,402.4457817237463,6513.587070376015
ID047,B,2301.5303478285964,391.1999622502148,4603.060695657193
ID048,B,2492.8662278998427,406.21921944286055,4985.732455799685
ID049,C,2715.6479414673877,406.40778238104406,-2309.2401590863437
ID050,A,2663.235625972434,417.5883600128008,5901.765077853297
ID051,B,2557.4434747134615,394.7264141995813,5114.886949426923
ID052,A,2564.3433765584127,421.8188890500977,5583.93568442475
ID053,C,2416.3709780920685,430.64978493268217,-1985.7211931593863
ID054,C,2499.9285379434777,373.7603641719451,-2126.1681737715326
ID055,B,2889.697375202351,394.19147708779104,5779.394750404702
ID056,A,2242.2725509053566,396.8788893106722,4742.42320616271
ID057,B,2418.1308775427556,381.6706461045355,4836.261755085511
ID058,B,2663.2233792776174,398.9881068045759,5326.446758555235
ID059,C,2544.9895793394676,403.4350802639113,-2141.554499075556
ID060,C,2463.3152393191835,391.3564919603009,-2071.9587473588826
ID061,B,2970.592732185592,412.2534311753701,5941.185464371184
ID062,A,2033.3278893501247,388.4171153957529,4157.898091071609
ID063,B,1974.5618485305977,379.99636209278754,3949.1236970611953
ID064,A,2788.369359149449,395.3632114732078,6388.292020082308
ID065,A,2261.6720534842157,400.4283725854149,4782.874297525574
ID066,C,3149.1933329654235,416.9440731058091,-2732.2492598596145
ID067,C,2232.5059595789967,394.3874000784389,-1838.1185595005577
ID068,B,2657.032771140467,399.8289830926661,5314.065542280934
ID069,C,2475.0777870263955,404.0938638800306,-2070.9839231463648
ID070,B,2058.789434301611,390.9768334608851,4117.578868603222
ID071,C,2996.4385072864047,408.6139695127249,-2587.82453777368
ID072,B,2500.116026753147,397.08826753288184,5000.232053506294
ID073,B,2783.248078273502,403.03336870538476,5566.496156547004
ID074,C,2356.9841381519627,392.423138741842,-1964.5609994101208
ID075,B,2228.177071233799,444.3165918862362,4456.354142467598
ID076,A,2855.0076571559557,360.5462958418458,6762.291492258639
ID077,A,2518.196348904003,394.71320453604693,5581.023024031775
ID078,C,2363.627815554489,392.8328838251162,-1970.794931729373
ID079,B,2529.1451518706995,402.4239166065379,5058.290303741399
ID080,C,2060.510045687759,425.3024923057097,-1635.2075533820494
ID081,C,2958.355398685686,412.32947223901346,-2546.0259264466727
ID082,B,2444.4256909117134,389.98891431090755,4888.851381823427
ID083,A,2420.0640666714785,407.0273370308964,5225.055514859953
ID084,C,2102.761421507276,414.495138938083,-1688.2662825691928
ID085,B,2642.1963563569043,407.8066422426673,5284.392712713809
ID086,B,2235.857890505509,398.2164268850832,4471.715781011018
ID087,A,2341.952512145629,400.50247513476353,5023.3451607630695
ID088,B,2661.4162489807536,396.6162309902687,5322.832497961507
ID089,B,3016.1536744293912,401.5860622192644,6032.3073488587825
ID090,A,2682.6067447853366,404.548614687085,6025.077160920585
ID091,C,1963.1935305522106,397.0647044113387,-1566.128826140872
ID092,C,2443.9231002387423,411.47404310876743,-2032.4490571299748
